vrefdes,vpin,refdes,pin
VCOMP0,0,CON-MOTOR,3
VCOMP0,1,CON-MOTOR,4
VCOMP1,0,Q2_MAHB,1
VCOMP1,1,Q2_MAHB,2
VCOMP1,2,Q2_MAHB,3
VCOMP1,3,CON-MOTOR,4
VCOMP2,0,Q2_MBHB,3
VCOMP2,1,Q2_MBHB,2
VCOMP2,2,Q2_MBHB,1
VCOMP2,3,CON-MOTOR,4
VCOMP3,0,CON-MOTOR,3
VCOMP3,1,Q1_MAHB,1
VCOMP3,2,Q1_MAHB,2
VCOMP3,3,Q1_MAHB,3
VCOMP4,0,CON-MOTOR,3
VCOMP4,1,Q1_MBHB,1
VCOMP4,2,Q1_MBHB,2
VCOMP4,3,Q1_MBHB,3
