refdes,pin,voltage,current
CON-MOTOR,3,12.568,16.0
CON-MOTOR,4,0.0,-16.0
Q2_MAHB,1,12.5603,-2.69074
Q2_MAHB,2,12.5603,-2.69074
Q2_MAHB,3,12.5589,-2.61853
Q2_MBHB,3,12.5503,-2.64928
Q2_MBHB,2,12.5503,-2.64928
Q2_MBHB,1,12.5513,-2.70144
Q1_MAHB,1,0.0213247,2.67106
Q1_MAHB,2,0.0214481,2.66447
Q1_MAHB,3,0.0214481,2.66447
Q1_MBHB,1,0.00962102,2.66015
Q1_MBHB,2,0.00901665,2.69238
Q1_MBHB,3,0.00985857,2.64748
