refdes,pin,voltage,current
CON-MC2,3,12.594,6.0
CON-MC2,4,0.0,-6.0
IC?,9,12.5597,-0.922445
IC?,4,12.5696,-1.00904
IC?,3,12.5703,-1.01505
IC?,17,12.5726,-1.03504
IC?,18,12.5726,-1.03515
IC?,23,12.5667,-0.983263
IC?,12,0.0128974,0.712002
IC?,7,0.0138862,0.703351
IC?,10,0.0130665,0.710523
IC?,11,0.0128021,0.712836
IC?,25,0.00369018,0.792566
IC?,24,0.00336322,0.795426
IC?,20,0.00473151,0.783454
IC?,26,0.00400322,0.789826
