vrefdes,vpin,refdes,pin
VCOMP0,0,CON-MC2,3
VCOMP0,1,CON-MC2,4
VCOMP1,0,IC?,9
VCOMP1,1,IC?,4
VCOMP1,2,IC?,3
VCOMP1,3,IC?,17
VCOMP1,4,IC?,18
VCOMP1,5,IC?,23
VCOMP1,6,IC?,12
VCOMP1,7,IC?,7
VCOMP1,8,IC?,10
VCOMP1,9,IC?,11
VCOMP1,10,IC?,25
VCOMP1,11,IC?,24
VCOMP1,12,IC?,20
VCOMP1,13,IC?,26
