vrefdes,vpin,refdes,pin
VCOMP0,0,Q1,5
VCOMP0,1,Q1,6
VCOMP0,2,Q1,7
VCOMP0,3,Q1,8
VCOMP0,4,Q1,9
VCOMP0,5,BAT,1
VCOMP1,0,R11_M0,2
VCOMP1,1,C1_M0,3
VCOMP2,0,R11_M1,2
VCOMP2,1,C1_M1,3
VCOMP3,0,R11_M2,2
VCOMP3,1,C1_M2,3
VCOMP4,0,R11_M3,2
VCOMP4,1,C1_M3,3
VCOMP5,0,RD1,2
VCOMP5,1,CON_DM1,0
VCOMP6,0,P1,6
VCOMP6,1,P1,5
VCOMP6,2,P1,4
VCOMP6,3,P1,3
VCOMP6,4,P1,2
VCOMP6,5,P1,1
VCOMP6,6,P1,12
VCOMP6,7,P1,11
VCOMP6,8,P1,10
VCOMP6,9,P1,9
VCOMP6,10,P1,8
VCOMP6,11,P1,7
